Operation,Category,Perf Weight,Timing Weight,Absolute Alpha,Perf/Timing Ratio,Weight Tier,Zero FP,Alpha Min,Alpha Max,Alpha CV,Analytical Formula,Analytical FLOPs,Benchmark Code,Benchmark Size,Repeats,Perf Instructions (total),"Timing (ns, total)",Time per Analytical FLOP (ns),Baseline Alpha,Baseline Command,Baseline Perf Instructions,Baseline Timing (ns),Implementation URL,Notes
isposinf,Pointwise Unary,0.3837,0.9629,0.6001,0.3985,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.isposinf(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",76601851.0,1.5320,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L324,Test for positive infinity element-wise.
power,Pointwise Binary,46.7140,9.2416,73.0640,5.0548,heavy,FALSE,72.2001,92.8281,0.1470,numel(output),10000000,"np.power(a, b, out=_out)",n=10000000,5,"[3653202617, 3610005633, 4641404919]",735226394.0,14.7045,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L413,Element-wise exponentiation x**y.
arctan2,Pointwise Binary,34.6532,1.4285,54.2001,24.2585,heavy,FALSE,53.5642,54.2001,0.0068,numel(output),10000000,"np.arctan2(a, b, out=_out)",n=10000000,5,"[2678210644, 2710005633, 2710005601]",113641642.0,2.2728,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L420,Element-wise arctan(y/x) considering quadrant.
logaddexp2,Pointwise Binary,22.5287,16.4371,35.2365,1.3706,heavy,FALSE,20.0965,51.8801,0.4448,numel(output),10000000,"np.logaddexp2(a, b, out=_out)",n=10000000,5,"[2594005139, 1761822103, 1004825541]",1307665618.0,26.1533,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L445,log2(2**x1 + 2**x2) element-wise.
logaddexp,Pointwise Binary,21.6097,16.1960,33.7991,1.3343,heavy,FALSE,22.4074,52.2350,0.4164,numel(output),10000000,"np.logaddexp(a, b, out=_out)",n=10000000,5,"[2611748829, 1689958268, 1120371731]",1288486819.0,25.7697,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L444,log(exp(x1) + exp(x2)) element-wise.
float_power,Pointwise Binary,20.8222,9.7219,32.5674,2.1418,heavy,FALSE,25.4041,62.2001,0.4870,numel(output),10000000,"np.float_power(a, b, out=_out)",n=10000000,5,"[1628367927, 3110005633, 1270203784]",773434780.0,15.4687,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L429,Element-wise exponentiation in float64.
hypot,Pointwise Binary,7.4809,9.5273,11.7007,0.7852,moderate,FALSE,10.7937,11.7012,0.0460,numel(output),10000000,"np.hypot(a, b, out=_out)",n=10000000,5,"[539684454, 585061193, 585034041]",757954567.0,15.1591,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L438,Element-wise Euclidean norm sqrt(x1^2 + x2^2).
floor_divide,Pointwise Binary,3.0823,11.6310,4.8209,0.2650,moderate,FALSE,4.7084,5.4499,0.0800,numel(output),10000000,"np.floor_divide(a, b, out=_out)",n=10000000,5,"[241046584, 235420983, 272493391]",925312663.0,18.5063,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L430,Element-wise floor division.
isclose,Pointwise Binary,2.6854,5.8060,4.2002,0.4625,moderate,FALSE,3.5642,4.2001,0.0921,numel(output),10000000,"np.isclose(a, b)",n=10000000,5,"[178210644, 210005633, 210005601]",461897373.0,9.2379,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L388,Element-wise approximate equality test.
add,Pointwise Binary,1.4067,0.9832,2.2002,1.4307,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.add(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",78216697.0,1.5643,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L407,Element-wise addition.
subtract,Pointwise Binary,1.4067,0.9807,2.2002,1.4344,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.subtract(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",78020037.0,1.5604,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L408,Element-wise subtraction.
multiply,Pointwise Binary,1.4067,0.9841,2.2002,1.4294,baseline,FALSE,1.5642,2.2001,0.1847,numel(output),10000000,"np.multiply(a, b, out=_out)",n=10000000,5,"[78210644, 110005633, 110005601]",78291826.0,1.5658,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L409,Element-wise multiplication.
