Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
concat,free,free,0,0,,,,Join arrays along axis (NumPy 2.x array API alias for concatenate).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
concatenate,free,free,0,0,,,,Join arrays along axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
copy,free,free,0,0,,,,Return array copy.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
copyto,free,free,0,0,,,,Copy values from src to dst array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
delete,free,free,0,0,,,,Return array with sub-arrays deleted along axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
diag,free,free,0,0,,,,Extract diagonal or construct diagonal array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
diag_indices,free,free,0,0,,,,Return indices to access main diagonal of n-D array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
diag_indices_from,free,free,0,0,,,,Return indices to access main diagonal of given array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
diagflat,free,free,0,0,,,,Create diagonal array from flattened input.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
diagonal,free,free,0,0,,,,Return specified diagonals.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
dsplit,free,free,0,0,,,,Split array into multiple sub-arrays depth-wise.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
dstack,free,free,0,0,,,,Stack arrays depth-wise (along third axis).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
empty,free,free,0,0,,,,Uninitialized array allocation.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
empty_like,free,free,0,0,,,,Uninitialized array with same shape/type as input.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
expand_dims,free,free,0,0,,,,Insert new size-1 axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
extract,free,free,0,0,,,,Return elements satisfying condition.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
eye,free,free,0,0,,,,Create identity matrix.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.fftfreq,free,free,0,0,,,,FFT sample frequencies. No arithmetic; returns index array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.fftshift,free,free,0,0,,,,Shift zero-frequency component to center. No arithmetic; index reordering only.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.ifftshift,free,free,0,0,,,,Inverse of fftshift. No arithmetic; index reordering only.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.rfftfreq,free,free,0,0,,,,Real FFT sample frequencies. No arithmetic; returns index array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fill_diagonal,free,free,0,0,,,,Fill main diagonal of given array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
flatnonzero,free,free,0,0,,,,Return indices of non-zero elements in flattened array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
flip,free,free,0,0,,,,Reverse order of elements along axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fliplr,free,free,0,0,,,,Flip array left-right.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
flipud,free,free,0,0,,,,Flip array up-down.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
from_dlpack,free,free,0,0,,,,Create ndarray from DLPack object (zero-copy).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
frombuffer,free,free,0,0,,,,Interpret buffer as 1-D array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fromfile,free,free,0,0,,,,Construct array from binary/text file.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fromfunction,free,free,0,0,,,,Construct array by executing function over each coordinate.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fromiter,free,free,0,0,,,,Create array from an iterable.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fromregex,free,free,0,0,,,,Construct array from text file using regex.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fromstring,free,free,0,0,,,,Create 1-D array from string data.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
full,free,free,0,0,,,,Create array filled with scalar value.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
full_like,free,free,0,0,,,,"Array filled with scalar, same shape/type as input.",Zero FLOP cost — not benchmarked,,,,,,,,,,,
hsplit,free,free,0,0,,,,Split array into columns.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
hstack,free,free,0,0,,,,Stack arrays horizontally.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
identity,free,free,0,0,,,,Create square identity matrix.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
indices,free,free,0,0,,,,Return array representing indices of a grid.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
insert,free,free,0,0,,,,Insert values along axis before given indices.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isdtype,free,free,0,0,,,,Return True if array or dtype is of specified kind (NumPy 2.x).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isfinite,free,free,0,0,,,,Test for finite values element-wise.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isfortran,free,free,0,0,,,,Return True if array is Fortran contiguous.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isinf,free,free,0,0,,,,Test for infinity element-wise.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isnan,free,free,0,0,,,,Test for NaN element-wise.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isscalar,free,free,0,0,,,,Return True if input is a scalar.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
issubdtype,free,free,0,0,,,,Return True if first argument is lower in type hierarchy.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
iterable,free,free,0,0,,,,Return True if object is iterable.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ix_,free,free,0,0,,,,Construct open mesh from multiple sequences.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
linalg.diagonal,free,free,0,0,,,,View of diagonal — delegates to mechestim.diagonal. Cost: 0 FLOPs.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
linalg.matrix_transpose,free,free,0,0,,,,Transpose view — delegates to mechestim.matrix_transpose. Cost: 0 FLOPs.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
linspace,free,free,0,0,,,,Return evenly spaced numbers over interval.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
mask_indices,free,free,0,0,,,,Return indices of mask for n x n array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
matrix_transpose,free,free,0,0,,,,Transpose last two dimensions (NumPy 2.x array API).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
may_share_memory,free,free,0,0,,,,Determine if two arrays might share memory.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
meshgrid,free,free,0,0,,,,Coordinate matrices from coordinate vectors.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
min_scalar_type,free,free,0,0,,,,Return the minimum scalar type for a value.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
mintypecode,free,free,0,0,,,,Return minimum data type character that can satisfy all given types.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
moveaxis,free,free,0,0,,,,Move axes to new positions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ndim,free,free,0,0,,,,Return number of dimensions of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
nonzero,free,free,0,0,,,,Return indices of non-zero elements.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ones,free,free,0,0,,,,Create one-filled array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ones_like,free,free,0,0,,,,Array of ones with same shape/type as input.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
packbits,free,free,0,0,,,,Pack elements of array into bits.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
pad,free,free,0,0,,,,Pad array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
permute_dims,free,free,0,0,,,,Permute dimensions (NumPy 2.x array API).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
place,free,free,0,0,,,,Change elements satisfying condition.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
promote_types,free,free,0,0,,,,Return smallest type to which both types may be safely cast.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
put,free,free,0,0,,,,Replace elements at given flat indices.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
put_along_axis,free,free,0,0,,,,Put values into destination array using indices.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
putmask,free,free,0,0,,,,Change elements of array based on condition and input values.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.default_rng,free,free,0,0,,,,Construct a new Generator with default BitGenerator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.get_state,free,free,0,0,,,,Return tuple representing internal state of generator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.seed,free,free,0,0,,,,Seed random number generator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.set_state,free,free,0,0,,,,Set internal state of generator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ravel,free,free,0,0,,,,Return contiguous flattened array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ravel_multi_index,free,free,0,0,,,,Convert multi-dimensional index to flat index.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
repeat,free,free,0,0,,,,Repeat elements of an array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
require,free,free,0,0,,,,Return array that satisfies requirements.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
reshape,free,free,0,0,,,,Reshape array without copying.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
resize,free,free,0,0,,,,Return new array with given shape by repeating.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
result_type,free,free,0,0,,,,Return type that results from applying NumPy type promotion.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
roll,free,free,0,0,,,,Roll array elements along axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
rollaxis,free,free,0,0,,,,Roll specified axis backwards.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
rot90,free,free,0,0,,,,Rotate array 90 degrees.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
row_stack,free,free,0,0,,,,Stack arrays vertically (alias for vstack).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
select,free,free,0,0,,,,Return array from list of choices based on conditions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
shape,free,free,0,0,,,,Return shape of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
shares_memory,free,free,0,0,,,,Determine if two arrays share memory.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
size,free,free,0,0,,,,Return number of elements in array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
split,free,free,0,0,,,,Split array into sub-arrays.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
squeeze,free,free,0,0,,,,Remove size-1 dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
stack,free,free,0,0,,,,Join arrays along new axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
swapaxes,free,free,0,0,,,,Interchange two axes of an array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
take,free,free,0,0,,,,Take elements from array along axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
take_along_axis,free,free,0,0,,,,Take values from input array by matching 1-D index.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tile,free,free,0,0,,,,Repeat array by tiling.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
transpose,free,free,0,0,,,,Permute array dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tri,free,free,0,0,,,,Array with ones at and below given diagonal.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tril,free,free,0,0,,,,Lower triangle of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tril_indices,free,free,0,0,,,,Return lower-triangle indices for n x n array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tril_indices_from,free,free,0,0,,,,Return lower-triangle indices for given array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
trim_zeros,free,free,0,0,,,,Trim leading/trailing zeros from 1-D array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
triu,free,free,0,0,,,,Upper triangle of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
triu_indices,free,free,0,0,,,,Return upper-triangle indices for n x n array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
triu_indices_from,free,free,0,0,,,,Return upper-triangle indices for given array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
typename,free,free,0,0,,,,Return description of given data type code.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
unpackbits,free,free,0,0,,,,Unpack elements of array into bits.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
unravel_index,free,free,0,0,,,,Convert flat index to multi-dimensional index.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
unstack,free,free,0,0,,,,Unstack array along axis into tuple of arrays (NumPy 2.x).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
vsplit,free,free,0,0,,,,Split array into rows.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
vstack,free,free,0,0,,,,Stack arrays vertically.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
where,free,free,0,0,,,,Select elements based on condition.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
zeros,free,free,0,0,,,,Create zero-filled array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
zeros_like,free,free,0,0,,,,Array of zeros with same shape/type as input.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
apply_along_axis,blacklisted,blacklisted,,,,,,Apply function along axis. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
apply_over_axes,blacklisted,blacklisted,,,,,,Apply function over multiple axes. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
array2string,blacklisted,blacklisted,,,,,,Return string representation of array. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
array_repr,blacklisted,blacklisted,,,,,,Return string representation of array. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
array_str,blacklisted,blacklisted,,,,,,Return string representation of data in array. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
asmatrix,blacklisted,blacklisted,,,,,,Interpret input as matrix (deprecated). Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
busday_count,blacklisted,blacklisted,,,,,,Count valid days between begindate and enddate. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
busday_offset,blacklisted,blacklisted,,,,,,Apply offset to dates subject to valid day rules. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
datetime_as_string,blacklisted,blacklisted,,,,,,Convert datetime array to string representation. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
datetime_data,blacklisted,blacklisted,,,,,,Get information about the step size of datetime dtype. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
format_float_positional,blacklisted,blacklisted,,,,,,Format floating point scalar as decimal string. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
format_float_scientific,blacklisted,blacklisted,,,,,,Format floating point scalar as scientific notation. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
frompyfunc,blacklisted,blacklisted,,,,,,Take arbitrary Python function and return NumPy ufunc. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
genfromtxt,blacklisted,blacklisted,,,,,,Load data from text file with missing values. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
get_include,blacklisted,blacklisted,,,,,,Return directory containing NumPy C header files. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
getbufsize,blacklisted,blacklisted,,,,,,Return size of buffer used in ufuncs. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
geterr,blacklisted,blacklisted,,,,,,Get current way of handling floating-point errors. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
geterrcall,blacklisted,blacklisted,,,,,,Return current callback function for floating-point errors. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
is_busday,blacklisted,blacklisted,,,,,,Calculates which of given dates are valid days. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
load,blacklisted,blacklisted,,,,,,Load arrays from .npy/.npz files. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
loadtxt,blacklisted,blacklisted,,,,,,Load data from text file. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
nested_iters,blacklisted,blacklisted,,,,,,Create nested iterators for multi-index broadcasting. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
piecewise,blacklisted,blacklisted,,,,,,Evaluate piecewise-defined function. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
save,blacklisted,blacklisted,,,,,,Save array to .npy file. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
savetxt,blacklisted,blacklisted,,,,,,Save array to text file. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
savez,blacklisted,blacklisted,,,,,,Save multiple arrays to .npz file. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
savez_compressed,blacklisted,blacklisted,,,,,,Save multiple arrays to compressed .npz file. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
setbufsize,blacklisted,blacklisted,,,,,,Set size of buffer used in ufuncs. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
seterr,blacklisted,blacklisted,,,,,,Set how floating-point errors are handled. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
seterrcall,blacklisted,blacklisted,,,,,,Set callback function for floating-point errors. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
show_config,blacklisted,blacklisted,,,,,,Show NumPy build configuration. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
show_runtime,blacklisted,blacklisted,,,,,,Show runtime info. Not supported.,Intentionally unsupported in mechestim,,,,,,,,,,,
